Number,Type,country,name,routes,Year,L(m),,,
1,21 m auxiliary sloop,Norway,GjÃ¸a,West 4,1903-06,21,,1,TRUE
2,29Â·7 m auxiliary schooner,Canada,St Roch1,East  6,1940-42,29,,2,TRUE
3,29Â·7 m auxiliary schooner,Canada,St Roch2,West 2,1944,29,,3,TRUE
4,icebreaker,Canada,HMCS Labrador,West 2,1954,82,,4,TRUE
5,buoy tender,United States,USCGC Bramble,East  6,1957,55,,5,TRUE
6,buoy tender,United States,USCGC Spar,East  6,1957,14,,6,TRUE
7,icebreaker,United States,USCGC Storis,East  6,1957,70,,7,TRUE
8,icebreaker,Canada,CCGS John A. McDonald,West 3,1967,96,,8,TRUE
9,icebreaker,United States,USCGC Northwind1,East  5,1969,82,,9,TRUE
10,icebreaker,United States,USCGC Northwind2,West 3,1969,82,,10,TRUE
11,icebreaker,United States,USCGC Staten Island,East  2,1969,82,,11,TRUE
12,research icebreaker,Canada,CSS Baffin,East  2,1970,,,12,TRUE
13,research icebreaker,Canada,CSS Hudson1,East  2,1970,90,,13,TRUE
14,hydrographic vessel,Canada,Pandora II1,East  7,1975,,,14,TRUE
15,research vessel,Canada,Theta,East  7,1975,,,15,TRUE
16,buoy tender,Canada,CSS Skidgate,East  6,1975,,,16,TRUE
17,icebreaker,Canada,CCGS J. E. Bernier1,East  3,1976,66.7,,17,TRUE
18,13 m sloop,Netherlands,Williwaw,West 4,1977,13,,18,TRUE
19,icebreaker,Canada,CCGS Pierre Radisson,East  2,1978,98,,19,TRUE
20,10 m ketch,Canada,J. E. Bernier II,West 4,1976-79,10,,20,TRUE
21,icebreaker,Canada,Canmar Kigoriak,West 2,1979,90.72,,21,TRUE
22,icebreaker,Canada,CCGS Louis S. St Laurent,West 2,1979,119.63,,22,TRUE
23,icebreaker,Canada,CCGS J. E. Bernier2,East  4,1980,66.7,,23,TRUE
24,hydrographic vessel,Canada,Pandora II2,East  4,1980,,,24,TRUE
25,research icebreaker,Canada,CSS Hudson2,East  3,1981,,,25,TRUE
26,15 m sloop,Japan,Mermaid,West 6,1979-82,15,,26,TRUE
27,tug,Canada,Arctic Shiko,East  3,1983,,,27,TRUE
28,research vessel,Canada,Polar Circle,East  4,1983,,,28,TRUE
29,ice strengthened ship,Sweden,Lindblad Explorer1,West 4,1984,73,,29,TRUE
30,icebreaker,United States,USCGC Polar Sea1,West 2,1985,122,,30,TRUE
31,ice strengthened ship,Singapore,World Discoverer1,East  6,1985,87.5,,31,TRUE
32,drilling ship,Canada,Canmar Explorer II,West 3,1976-88,,,32,TRUE
33,18 m yacht,United States,Belvedere,East  6,1983-88,18,,33,TRUE
34,15*3 m yacht,France,Vagabondeau,East 6,1983-88,15,,34,TRUE
35,icebreaker,Canada,CCGS Henry A. Larsen,East  5,1988,100,,35,TRUE
36,icebreaker,Canada,CCGS Martha L. Black,East  5,1988,83,,36,TRUE
37,icebreaker,United States,USCGC Polar Star1,East  3,1988,122,,37,TRUE
38,ice strengthened ship,Bahamas,Society Explorer2,East  5,1988,73,,38,TRUE
39,12Â·8 m lifeboat,Britain,Mabel E. Holland,West 6,1986-89,12,,39,TRUE
40,15 m ketch,Britain,Northanger,West 4,1988-89,15,,40,TRUE
41,icebreaker,United States,USCGC Polar Star2,West 3,1989,122,,41,TRUE
42,icebreaker,Canada,Ikaluk1,East  3,1983-90,79,,42,TRUE
